AL,4/4/2020
AK,3/28/2020
AZ,3/31/2020
AR,NA
CA,3/19/2020
CO,3/26/2020
CT,3/23/2020
DE,3/24/2020
FL,4/3/2020
GA,4/3/2020
HI,3/25/2020
ID,3/25/2020
IL,3/21/2020
IN,3/24/2020
IA,NA
KS,3/30/2020
KY,3/26/2020
LA,3/23/2020
ME,4/2/2020
MD,3/30/2020
MA,3/24/2020
MI,3/24/2020
MN,3/27/2020
MS,4/3/2020
MO,4/6/2020
MT,3/28/2020
NE,NA
NV,4/1/2020
NH,3/27/2020
NJ,3/21/2020
NM,3/24/2020
NY,3/22/2020
NC,3/30/2020
ND,NA
OH,3/23/2020
OK,4/6/2020
OR,3/23/2020
PA,4/1/2020
RI,3/28/2020
SC,4/7/2020
SD,NA
TN,3/31/2020
TX,4/2/2020
UT,3/27/2020
VT,3/25/2020
VA,3/30/2020
WA,3/23/2020
WV,3/24/2020
WI,3/25/2020
WY,3/28/2020
DC,4/1/2020
